GEOID,STATE,COUNTY,TRACT,BLOCK,P1_Total(001),P1_White(003),P1_Black(004),P1_AIAN(005),P1_Asian(006),P1_NHPI(007),P1_Other(008),P1_TwoPlus(009),P2_Total(001),P2_Hispanic(002),P2_NotHispanic(003),P2_NH_White(005),P2_NH_Black(006),P2_NH_AIAN(007),P2_NH_Asian(008),P2_NH_NHPI(009),P2_NH_Other(010),P2_NH_TwoPlus(011),H1_TotalUnits(001),H1_Occupied(002),H1_Vacant(003),P5_GQTotal(001),P5_Inst(002),P5_Correctional(003),P5_Juvenile(004),P5_Nursing(005),P5_OtherInst(006),P5_NonInst(007),P5_College(008),P5_Military(009),P5_OtherNonInst(010),ad_old,ad_new,place_share
361190022024005,36,119,002202,4005,62,58,0,1,1,0,0,2,62,3,59,57,0,1,0,0,0,1,20,20,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190022024013,36,119,002202,4013,13,2,0,0,7,0,4,0,13,4,9,2,0,0,7,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190022044007,36,119,002204,4007,5,4,0,0,0,0,1,0,5,1,4,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999999
361190022024022,36,119,002202,4022,44,38,0,0,0,0,0,6,44,3,41,37,0,0,0,0,0,4,22,21,1,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190022024021,36,119,002202,4021,19,7,0,1,0,0,0,11,19,11,8,7,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190022022002,36,119,002202,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999998
361190022022000,36,119,002202,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999998
361190022022012,36,119,002202,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999994
361190022022005,36,119,002202,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999984
361190022041002,36,119,002204,1002,43,35,2,0,0,0,5,1,43,1,42,34,2,0,0,0,5,1,14,8,6,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
